xi_center,rho_raw,rho_corr,phi,xi_center_masked,rho_raw_masked,rho_corr_masked
0.00650,1209753.1563,5.707364e+04,1.026643,0.00650,1115895.6925,5.238378e+04
0.01929,2135589.4382,1.038876e+05,0.995663,0.01929,1892310.2666,9.134814e+04
0.03209,4292669.9693,2.106288e+05,0.987115,0.03209,4043451.4412,1.972907e+05
0.04489,5370272.4417,2.626809e+05,0.990207,0.04489,4986402.4479,2.432438e+05
0.05768,6972179.4313,3.387452e+05,0.996905,0.05768,6552126.2520,3.168570e+05
0.07048,8905674.4469,4.351104e+05,0.991347,0.07048,8164427.1156,3.965399e+05
0.08327,11399579.0157,5.495947e+05,1.004626,0.08327,10577290.7269,5.084141e+05
0.09607,10709832.1579,5.178816e+05,1.001637,0.09607,10046421.6577,4.844506e+05
0.10887,12002267.4099,5.791414e+05,1.003776,0.10887,11216709.3525,5.393097e+05
0.12166,13514458.8553,6.551137e+05,0.999172,0.12166,12731792.3268,6.148302e+05
0.13446,14902705.3068,7.200975e+05,1.002379,0.13446,13960379.4955,6.715498e+05
0.14725,15095109.2003,7.291207e+05,1.002756,0.14725,14165756.1941,6.813354e+05
0.16005,15350814.1310,7.433257e+05,1.000255,0.16005,14250704.6231,6.866646e+05
0.17285,16198891.7313,7.828021e+05,1.002286,0.17285,15073461.8085,7.261110e+05
0.18564,16129260.5903,7.850146e+05,0.995165,0.18564,15143327.3978,7.340723e+05
0.19844,16030323.4136,7.731315e+05,1.004262,0.19844,15139576.2252,7.276616e+05
0.21123,15709207.4110,7.582406e+05,1.003472,0.21123,14543061.6359,6.997314e+05
0.22403,14852845.9713,7.191659e+05,1.000320,0.22403,13784699.5797,6.647048e+05
0.23683,13819476.0755,6.720019e+05,0.996046,0.23683,12852923.9413,6.221773e+05
0.24962,13322367.5595,6.447604e+05,1.000786,0.24962,12457097.0849,6.007417e+05
0.26242,12324868.2515,5.945888e+05,1.003977,0.26242,11475462.1110,5.503811e+05
0.27521,10858628.6702,5.256331e+05,1.000577,0.27521,10114177.2124,4.879424e+05
0.28801,9829869.5907,4.772008e+05,0.997711,0.28801,9215146.1845,4.455951e+05
0.30081,8741482.4972,4.246547e+05,0.997028,0.30081,8146140.1493,3.941958e+05
0.31360,8016724.6954,3.898920e+05,0.995889,0.31360,7494686.5116,3.630647e+05
